Nr.;BLZ;BIC;Institut;Ort;RZ;Organisation;HBCI-Zugang DNS;HBCI- Zugang     IP-Adresse;HBCI-Version;DDV;RDH-1;RDH-2;RDH-3;RDH-4;RDH-5;RDH-6;RDH-7;RDH-8;RDH-9;RDH-10;RAH-7;RAH-9;RAH-10;PIN/TAN-Zugang URL;Version;Datum letzte �nderung
1661;51020186;HYVEDEMM478;UniCredit Bank - HypoVereinsbank AG;Wiesbaden;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;;;;;;;;;;;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;14.10.2024
1662;51040038;COBADEFFXXX;Commerzbank;R�desheim ;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;ja;ja;https://fints.commerzbank.de/fints;FinTS V3.0;27.02.2024
1663;51040038;COBADEFFXXX;Commerzbank;Wiesbaden;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;ja;ja;https://fints.commerzbank.de/fints;FinTS V3.0;27.02.2024
1664;51050015;NASSDE55XXX;Nassauische Sparkasse ;Nassau;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-hs7.s-fints-pt-hs.de/fints30;FinTS V3.0;09.02.2022
1665;51070021;DEUTDEFF510;Deutsche Bank;Wiesbaden;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1666;51070021;DEUTDEFF510;Deutsche Bank;Eltville am Rhein;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1667;51070021;DEUTDEFF510;Deutsche Bank;Taunusstein;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1668;51070024;DEUTDEDB510;Deutsche Bank Privat und Gesch�ftskunden;Wiesbaden;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1669;51070024;DEUTDEDB510;Deutsche Bank Privat und Gesch�ftskunden;Eltville am Rhein;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1670;51070024;DEUTDEDB510;Deutsche Bank Privat und Gesch�ftskunden;Taunusstein;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1671;51090000;WIBADE5WXXX;Wiesbadener Volksbank;Wiesbaden;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
1672;51091500;GENODE51RGG;Rheingauer Volksbank;Geisenheim, Rheingau;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
1673;51091711;VRBUDE51XXX;Bank f Orden u Mission Zndl vr bk Untertaunus;Idstein;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
1674;51140029;COBADEFFXXX;Commerzbank;Diez;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;ja;ja;https://fints.commerzbank.de/fints;FinTS V3.0;27.02.2024
1675;51140029;COBADEFFXXX;Commerzbank;Limburg ;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;ja;ja;https://fints.commerzbank.de/fints;FinTS V3.0;27.02.2024
1676;51150018;HELADEF1LIM;Kreissparkasse Limburg;Limburg;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-hs2.s-fints-pt-hs.de/fints30;FinTS V3.0;09.02.2022
1677;51151919;HELADEF1WEI;Kreissparkasse Weilburg;Weilburg;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-hs4.s-fints-pt-hs.de/fints30;FinTS V3.0;09.02.2022
1678;51161606;GENODE51LDD;Volksbank Langendernbach;Dornburg, Westerw;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
1679;51170010;DEUTDEFF511;Deutsche Bank;Limburg;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1680;51170024;DEUTDEDB511;Deutsche Bank Privat und Gesch�ftskunden;Limburg;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1681;51192200;GENODE51WEM;Volks- und Raiffeisenbank Weilm�nster -alt-;Weilm�nster;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
1682;51210700;NZFMDEF1XXX;NIBC Bank Zndl Frankfurt am Main;Frankfurt am Main;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
1683;51230800;WIREDEMMXXX;Wirecard Bank AG;;Atruvia AG;;fints1.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints1.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
1684;51250000;HELADEF1TSK;Taunus-Sparkasse;Steinbach;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-hs3.s-fints-pt-hs.de/fints30;FinTS V3.0;09.02.2022
1685;51340013;COBADEFFXXX;Commerzbank;Gie�en;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;ja;ja;https://fints.commerzbank.de/fints;FinTS V3.0;27.02.2024
1686;51340013;COBADEFFXXX;Commerzbank;Friedberg ;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;ja;ja;https://fints.commerzbank.de/fints;FinTS V3.0;27.02.2024
1687;51343224;COBADEFFXXX;Commerzbank;Alsfeld;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;ja;ja;https://fints.commerzbank.de/fints;FinTS V3.0;27.02.2024
1688;51350025;SKGIDE5FXXX;Sparkasse Giessen;Giessen;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-hs3.s-fints-pt-hs.de/fints30;FinTS V3.0;09.02.2022
1689;51351526;HELADEF1GRU;Sparkasse Gr�nberg;Gr�nberg;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-hs1.s-fints-pt-hs.de/fints30;FinTS V3.0;09.02.2022
1690;51352227;HELADEF1LAU;Sparkasse Laubach Hungen;Laubach Hungen;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-hs2.s-fints-pt-hs.de/fints30;FinTS V3.0;09.02.2022
1691;51361021;GENODE51HHE;Volksbank Heuchelheim;Heuchelheim, Kr Gie�en;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
1692;51370008;DEUTDEFF513;Deutsche Bank;Gie�en;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1693;51370024;DEUTDEDB513;Deutsche Bank Privat und Gesch�ftskunden;Gie�en;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1694;51390000;VBMHDE5FXXX;Volksbank Mittelhessen;Gie�en, Lahn;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
1695;51420300;BAERDEF1XXX;Bankhaus Julius B�r Europe AG;Frankfurt am Main;Bank-Verlag GmbH;BdB;;;;;;;;;;;;;;;;;;https://www.bv-activebanking.de/hbciTunnel/hbciTransfer.jsp;FinTS V3.0;30.05.2017
1696;51540037;COBADEFFXXX;Commerzbank;Butzbach;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;ja;ja;https://fints.commerzbank.de/fints;FinTS V3.0;27.02.2024
1697;51540037;COBADEFFXXX;Commerzbank;Wetzlar;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;ja;ja;https://fints.commerzbank.de/fints;FinTS V3.0;27.02.2024
1698;51550035;HELADEF1WET;Sparkasse Wetzlar;Wetzlar;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-hs1.s-fints-pt-hs.de/fints30;FinTS V3.0;09.02.2022
1699;51570008;DEUTDEFF515;Deutsche Bank;Wetzlar;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1700;51570024;DEUTDEDB515;Deutsche Bank Privat und Gesch�ftskunden;Wetzlar;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1701;51591300;GENODE51WBO;Volksbank Brandoberndorf;Waldsolms;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
1702;51640043;COBADEFFXXX;Commerzbank;Dillenburg;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;ja;ja;https://fints.commerzbank.de/fints;FinTS V3.0;27.02.2024
1703;51650045;HELADEF1DIL;Sparkasse Dillenburg;Dillenburg;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-hs2.s-fints-pt-hs.de/fints30;FinTS V3.0;09.02.2022
1704;51752267;HELADEF1BAT;Sparkasse Battenberg;Battenberg;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-hs3.s-fints-pt-hs.de/fints30;FinTS V3.0;09.02.2022
1705;51762434;GENODE51BIK;VR Bank Lahn-Dill eG;Biedenkopf;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
1706;51850079;HELADEF1FRI;Sparkasse Oberhessen;Wetterau;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-hs1.s-fints-pt-hs.de/fints30;FinTS V3.0;09.02.2022
1707;51861325;GENODEF1BVB;BVB Volksbank Ndl d Frankfurter Volksbank;Bad Vilbel;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
1708;51861403;GENODE51BUT;Volksbank Butzbach;Butzbach;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
1709;51861616;GENODE51REW;Landbank Horlofftal;Reichelsheim (Wetterau);Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
1710;51861806;GENODE51OBM;Volksbank Ober-M�rlen;Ober-M�rlen;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
1711;51961023;GENODE51ULR;Volksbank;Ulrichstein;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
1712;51990000;GENODE51LB1;Volksbank Lauterbach-Schlitz;Lauterbach (Hessen);Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
1713;52040021;COBADEFFXXX;Commerzbank;Kassel;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;ja;ja;https://fints.commerzbank.de/fints;FinTS V3.0;27.02.2024
1714;52040021;COBADEFFXXX;Commerzbank;Korbach;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;ja;ja;https://fints.commerzbank.de/fints;FinTS V3.0;27.02.2024
1715;52040021;COBADEFFXXX;Commerzbank;Warburg;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;ja;ja;https://fints.commerzbank.de/fints;FinTS V3.0;27.02.2024
1716;52050353;HELADEF1KAS;Kasseler Sparkasse;Kassel;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-hs3.s-fints-pt-hs.de/fints30;FinTS V3.0;09.02.2022
1717;52051877;HELADEF1GRE;Stadtsparkasse Grebenstein;Grebenstein;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-hs4.s-fints-pt-hs.de/fints30;FinTS V3.0;09.02.2022
1718;52052154;HELADEF1MEG;Kreissparkasse Schwalm-Eder;Schwalm-Eder;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-hs4.s-fints-pt-hs.de/fints30;FinTS V3.0;09.02.2022
1719;52053458;HELADEF1SWA;Sparkasse Schwalmstadt-Borken;Schwalmstadt;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-hs2.s-fints-pt-hs.de/fints30;FinTS V3.0;09.10.2023
1720;52060208;GENODEF1KS2;Kurhessische Landbank;Kassel, Hess;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
1721;52060410;GENODEF1EK1;Evangelische Kreditgenossenschaft;Kassel, Hess;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
1722;52062601;GENODEF1HRV;VR-Bank Schwalm-Eder eG;Homberg (Efze);Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
1723;52063369;GENODEF1SPB;VR-Bank Spangenberg-Morschen;Spangenberg, Hess;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
1724;52063550;GENODEF1WOH;Raiffeisenbank;Wolfhagen;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
1725;52064156;GENODEF1BTA;Raiffeisenbank;Baunatal;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
1726;52069029;GENODEF1GMD;Spar-u. Kredit-Bank;Gem�nden (Wohra);Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
1727;52070012;DEUTDEFF520;Deutsche Bank;Kassel;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1728;52070012;DEUTDEFF520;Deutsche Bank;Baunatal;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1729;52070012;DEUTDEFF520;Deutsche Bank;Hann. M�nden;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1730;52070024;DEUTDEDB520;Deutsche Bank Privat und Gesch�ftskunden;Kassel;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1731;52070024;DEUTDEDB520;Deutsche Bank Privat und Gesch�ftskunden;Baunatal;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1732;52070024;DEUTDEDB520;Deutsche Bank Privat und Gesch�ftskunden;Hann. M�nden;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1733;52071212;DEUTDEFF521;Deutsche Bank;Bad Wildungen;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1734;52071224;DEUTDEDB521;Deutsche Bank Privat und Gesch�ftskunden;Bad Wildungen;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1735;52090000;GENODE51KS1;Volksbank Kassel G�ttingen eG;Kassel, Hess;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
1736;52240006;COBADEFFXXX;Commerzbank;Eschwege;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;ja;ja;https://fints.commerzbank.de/fints;FinTS V3.0;27.02.2024
1737;52250030;HELADEF1ESW;Sparkasse Werra-Mei�ner;Werra-Mei�ner;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-hs4.s-fints-pt-hs.de/fints30;FinTS V3.0;09.02.2022
1738;52260385;GENODEF1ESW;VR-Bank Werra-Mei�ner;Eschwege;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
1739;52270012;DEUTDEFF522;Deutsche Bank;Eschwege;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1740;52270024;DEUTDEDB522;Deutsche Bank Privat und Gesch�ftskunden;Eschwege;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1741;52350005;HELADEF1KOR;Sparkasse Waldeck-Frankenberg;Waldeck-Frankenberg;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-hs4.s-fints-pt-hs.de/fints30;FinTS V3.0;09.02.2022
1742;52360059;GENODEF1KBW;Waldeck-Frankenberger Bank eG;Korbach;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
1743;52411000;CAGBDEF1XXX;Cash Express Gesellschaft f Finanz-u Reisedienstleistungen;Frankfurt am Main;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
1744;53040012;COBADEFFXXX;Commerzbank;Fulda;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;ja;ja;https://fints.commerzbank.de/fints;FinTS V3.0;27.02.2024
1745;53050180;HELADEF1FDS;Sparkasse Fulda;Fulda;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-hs2.s-fints-pt-hs.de/fints30;FinTS V3.0;09.02.2022
1746;53051396;HELADEF1SLU;Kreissparkasse Schl�chtern;Schl�chtern;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-hs1.s-fints-pt-hs.de/fints30;FinTS V3.0;09.02.2022
1747;53060180;GENODE51FUL;VR Genossenschaftsbank Fulda eG;Fulda;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
1748;53061230;GENODEF1HUE;VR-Bank Nordrh�n eG;H�nfeld;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
1749;53062035;GENODEF1GLU;Raiffeisenbank;Gro�enl�der;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
1750;53062350;GENODEF1PBG;Raiffeisenbank Biebergrund-Petersberg;Petersberg, Kr Fulda;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
1751;53070007;DEUTDEFF530;Deutsche Bank;Fulda;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1752;53070007;DEUTDEFF530;Deutsche Bank;Alsfeld;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1753;53070007;DEUTDEFF530;Deutsche Bank;Lauterbach (Hessen);eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1754;53070024;DEUTDEDB530;Deutsche Bank Privat und Gesch�ftskunden;Fulda;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1755;53070024;DEUTDEDB530;Deutsche Bank Privat und Gesch�ftskunden;Alsfeld;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1756;53070024;DEUTDEDB530;Deutsche Bank Privat und Gesch�ftskunden;Lauterbach (Hessen);eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1757;53093200;GENODE51ALS;VR Bank HessenLand;Alsfeld;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
1758;53093255;GENODE51AGR;AgrarB@nk;Alsfeld;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
1759;53240048;COBADEFFXXX;Commerzbank;Bad Hersfeld;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;ja;ja;https://fints.commerzbank.de/fints;FinTS V3.0;27.02.2024
1760;53250000;HELADEF1HER;Sparkasse Bad Hersfeld-Rotenburg;Hersfeld-Rotenburg;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-hs3.s-fints-pt-hs.de/fints30;FinTS V3.0;09.02.2022
1761;53261342;GENODEF1RAW;Raiffeisenbank Werratal-Landeck eG;Heringen (Werra);Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
1762;53270012;DEUTDEFF532;Deutsche Bank;Bad Hersfeld;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1763;53270024;DEUTDEDB518;Deutsche Bank Privat und Gesch�ftskunden;Bad Hersfeld;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1764;53340024;COBADEFFXXX;Commerzbank;Marburg;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;ja;ja;https://fints.commerzbank.de/fints;FinTS V3.0;27.02.2024
1765;53340024;COBADEFFXXX;Commerzbank;Stadtallendorf;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;ja;ja;https://fints.commerzbank.de/fints;FinTS V3.0;27.02.2024
1766;53350000;HELADEF1MAR;Sparkasse Marburg-Biedenkopf;Marburg-Biedenkopf;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-hs1.s-fints-pt-hs.de/fints30;FinTS V3.0;09.02.2022
1767;53370008;DEUTDEFF533;Deutsche Bank;Marburg;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1768;53370024;DEUTDEDB533;Deutsche Bank Privat und Gesch�ftskunden;Marburg;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1769;54020090;HYVEDEMM482;UniCredit Bank - HypoVereinsbank AG;Kaiserslautern;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;;;;;;;;;;;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;14.10.2024
