Nr.;BLZ;BIC;Institut;Ort;RZ;Organisation;HBCI-Zugang DNS;HBCI- Zugang     IP-Adresse;HBCI-Version;DDV;RDH-1;RDH-2;RDH-3;RDH-4;RDH-5;RDH-6;RDH-7;RDH-8;RDH-9;RDH-10;RAH-7;RAH-9;RAH-10;PIN/TAN-Zugang URL;Version;Datum letzte �nderung
448;24151235;BRLADE21ROB;Sparkasse Rotenburg Osterholz;Rotenburg-Bremerv�rde;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-ni1.s-fints-pt-ni.de/fints30;FinTS V3.0;09.02.2022
449;24162898;GENODEF1LAS;Spar- und Darlehnskasse B�rde Lamstedt-Hechthausen;Lamstedt-Hechthausen;Atruvia AG;BVR;fints1.atruvia.de;nicht unterst�tzt;3.0;;;;;;;;ja;;ja;ja;;;;https://fints1.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
450;24191015;GENODEF1SDE;Volksbank Stade-Cuxhaven eG;Stade-Cuxhaven;Atruvia AG;BVR;fints1.atruvia.de;nicht unterst�tzt;3.0;;;;;;;;ja;;ja;ja;;;;https://fints1.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
451;25010030;PBNKDEFFXXX;Postbank;Hannover;eigenes Rechenzentrum;BdB;;;;;;;;;;;;;;;;;;https://hbci.postbank.de/banking/hbci.do;FinTS V3.0;10.04.2015
452;25010900;CKVHDE21XXX;Calenberger Kreditverein;Calenberg;Atruvia AG;BVR;fints1.atruvia.de;nicht unterst�tzt;3.0;;;;;;;;ja;;ja;ja;;;;https://fints1.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
453;25040066;COBADEFFXXX;Commerzbank;Hannover;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;ja;ja;https://fints.commerzbank.de/fints;FinTS V3.0;27.02.2024
454;25050000;NOLADE2HXXX;Nord/LB Hannover;Hannover-Braunschweig-Magdeburg-Schwerin;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-li1.s-fints-pt-li.de/fints30;FinTS V3.0;09.02.2022
455;25050180;SPKHDE2HXXX;Sparkasse Hannover;Hannover;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-ni4.s-fints-pt-ni.de/fints30;FinTS V3.0;09.02.2022
456;25060180;HALLDE2HXXX;Bankhaus Hallbaum (M.M.Warburg);Hamburg;B+S Banksysteme AG;BdB;www.warburg-bank.de;188.21.13.34;3.0;;;ja;ja;;ja;;;ja;ja;ja;;;;https://www.warburg-bank.de/fints;FinTS V3.0;15.02.2019
457;25069262;GENODEF1NST;Raiffeisen-Volksbank Neustadt eG;Neustadt;Atruvia AG;BVR;fints1.atruvia.de;nicht unterst�tzt;3.0;;;;;;;;ja;;ja;ja;;;;https://fints1.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
458;25070024;DEUTDEDBHAN;Deutsche Bank Privat und Gesch�ftskunden;Hannover;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
459;25070024;DEUTDEDBHAN;Deutsche Bank Privat und Gesch�ftskunden;Stadthagen;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
460;25070024;DEUTDEDBHAN;Deutsche Bank Privat und Gesch�ftskunden;Barsinghausen;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
461;25070024;DEUTDEDBHAN;Deutsche Bank Privat und Gesch�ftskunden;Burgdorf;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
462;25070024;DEUTDEDBHAN;Deutsche Bank Privat und Gesch�ftskunden;Laatzen;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
463;25070024;DEUTDEDBHAN;Deutsche Bank Privat und Gesch�ftskunden;Langenhagen;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
464;25070024;DEUTDEDBHAN;Deutsche Bank Privat und Gesch�ftskunden;Nienburg (Weser);eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
465;25070024;DEUTDEDBHAN;Deutsche Bank Privat und Gesch�ftskunden;Holzminden;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
466;25070024;DEUTDEDBHAN;Deutsche Bank Privat und Gesch�ftskunden;Munster;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
467;25070024;DEUTDEDBHAN;Deutsche Bank Privat und Gesch�ftskunden;Soltau;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
468;25070066;DEUTDE2H265;Deutsche Bank;Stadthagen;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
469;25070070;DEUTDE2HXXX;Deutsche Bank;Hannover;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
470;25070070;DEUTDE2HXXX;Deutsche Bank;Barsinghausen;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
471;25070070;DEUTDE2HXXX;Deutsche Bank;Langenhagen;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
472;25070070;DEUTDE2HXXX;Deutsche Bank;Laatzen;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
473;25070070;DEUTDE2HXXX;Deutsche Bank;Burgdorf;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
474;25070077;DEUTDE2H256;Deutsche Bank;Nienburg (Weser);eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
475;25070084;DEUTDE2H258;Deutsche Bank;Soltau;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
476;25070084;DEUTDE2H258;Deutsche Bank;Munster;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
477;25070086;DEUTDE2H251;Deutsche Bank;Holzminden;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
478;25090500;GENODEF1S09;Sparda-Bank Hannover eG;Hannover;Atruvia AG;BVR;;;;;;;;;;;;;;;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
479;25090900;GENODEF1P09;PSD Bank Hannover eG;Hannover;Atruvia AG;BVR;;;;;;;;;;;;;;;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;28.04.2025
480;25151270;NOLADE21BAH;Stadtsparkasse Barsinghausen;Barsinghausen;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-ni2.s-fints-pt-ni.de/fints30;FinTS V3.0;09.02.2022
481;25151371;NOLADE21BUF;Stadtsparkasse Burgdorf;Burgdorf;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-ni2.s-fints-pt-ni.de/fints30;FinTS V3.0;09.02.2022
482;25152375;NOLADE21WAL;Kreissparkasse Walsrode;Walsrode;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-ni3.s-fints-pt-ni.de/fints30;FinTS V3.0;09.02.2022
483;25190001;VOHADE2HXXX;Hannoversche Volksbank eG;Hannover, Garbsen;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
484;25193331;GENODEF1PAT;Volksbank Hildesheim-Lehrte-Pattensen eG;Hildesheim-Lehrte-Pattensen;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
485;25450110;NOLADE21SWB;Sparkasse Hameln-Weserbergland;Hameln;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-ni2.s-fints-pt-ni.de/fints30;FinTS V3.0;09.02.2022
